node2	node1	estimate	edges
X4	X37	-1.1408949588636187e-14	X37-X4
X4	X4	1.0000000000000042	X4-X4
X4	X45	5.159418651876543e-15	X45-X4
X4	X61	1.3741104079568827e-15	X61-X4
X40	X10	-1.1450758501127678e-14	X10-X40
X40	X11	2.0544869846625164e-16	X11-X40
X40	X13	6.834501986634836e-13	X13-X40
X40	X14	3.6099389237946035e-14	X14-X40
X40	X15	-3.055797828309511e-13	X15-X40
X40	X17	-1.197428762591037e-13	X17-X40
X40	X19	-6.528122883354219e-15	X19-X40
X40	X23	1.0524325949385543e-14	X23-X40
X40	X26	-3.910101199385556e-16	X26-X40
X40	X29	-1.7574674668799667e-14	X29-X40
X40	X3	-1.5386810250880403e-14	X3-X40
X40	X32	-6.668807879845199e-15	X32-X40
X40	X33	-8.392070273579288e-15	X33-X40
X40	X40	0.999999999999998	X40-X40
X40	X61	1.332171603923739e-15	X61-X40
X41	X14	4.136261365928855e-15	X14-X41
X41	X15	-1.1275369563940787e-15	X15-X41
X41	X28	1.0151403672990401e-15	X28-X41
X41	X29	1.3720089814272119e-15	X29-X41
X41	X30	6.233932197278493e-16	X30-X41
X41	X31	5.872299472279488e-16	X31-X41
X41	X32	9.266414279607846e-16	X32-X41
X41	X36	-1.3270711929193001e-15	X36-X41
X41	X37	-8.587979605833059e-16	X37-X41
X41	X38	-1.7079733242637057e-14	X38-X41
X41	X4	2.4257699437213297e-16	X4-X41
X41	X41	0.9999999999999962	X41-X41
X41	X59	-5.743748065420538e-16	X59-X41
X41	X61	1.9019895331243935e-16	X61-X41
X42	X1	4.38064949708984e-15	X1-X42
X42	X10	1.426678386202397e-14	X10-X42
X42	X100	-7.771712237203052e-17	X100-X42
X42	X13	5.033139610631494e-13	X13-X42
X42	X14	-1.3513451941044987e-14	X14-X42
X42	X15	-4.0815925303328743e-13	X15-X42
X42	X17	-1.2523404035312329e-14	X17-X42
X42	X18	1.2121880074701472e-15	X18-X42
X42	X19	1.3326624124381078e-15	X19-X42
X42	X2	-4.09497128736899e-15	X2-X42
X42	X22	-4.3478509886208854e-15	X22-X42
X42	X24	2.250540193649873e-16	X24-X42
X42	X25	2.208615771668587e-15	X25-X42
X42	X28	2.852288508589388e-15	X28-X42
X42	X30	-2.8140137136044016e-15	X30-X42
X42	X35	-6.108962492228143e-15	X35-X42
X42	X36	-1.793278561501142e-15	X36-X42
X42	X37	5.102936568739481e-15	X37-X42
X42	X4	7.506836575979045e-17	X4-X42
X42	X42	0.9999999999999962	X42-X42
X42	X61	5.377668636785697e-16	X61-X42
X42	X70	-2.3348326936330516e-15	X70-X42
X43	X13	-3.430367911342617e-17	X13-X43
X43	X14	9.264550436931477e-17	X14-X43
X43	X17	-1.529042692760412e-16	X17-X43
X43	X23	1.0383062961572267e-16	X23-X43
X43	X25	8.935079420360224e-17	X25-X43
X43	X3	3.7596036078485186e-17	X3-X43
X43	X35	-8.987238473229472e-17	X35-X43
X43	X36	-1.2436492619188123e-16	X36-X43
X43	X4	-2.6096266724117686e-18	X4-X43
X43	X42	-2.085751076006411e-17	X42-X43
X43	X43	1.0000000000000016	X43-X43
X43	X44	2.404586132048992e-18	X44-X43
X43	X50	-1.7421137413708778e-18	X50-X43
X43	X61	2.1765347393480586e-17	X61-X43
X43	X91	-4.374562733556259e-18	X91-X43
X44	X10	2.9612633056996783e-14	X10-X44
X44	X100	-2.459758289941657e-16	X100-X44
X44	X13	2.5365784165892774e-14	X13-X44
X44	X14	-1.7493852825976677e-13	X14-X44
X44	X15	-8.38509886155383e-14	X15-X44
X44	X20	-3.684057822331842e-14	X20-X44
X44	X21	-3.9042015552839415e-14	X21-X44
X44	X22	-1.8659001868906668e-14	X22-X44
X44	X24	4.573528098156399e-15	X24-X44
X44	X25	-1.3384979932374793e-14	X25-X44
X44	X26	-3.5206799618096862e-15	X26-X44
X44	X29	1.3596629712624855e-13	X29-X44
X44	X3	-1.454157165619467e-14	X3-X44
X44	X30	-2.9158937258025435e-14	X30-X44
X44	X31	-3.452579140616258e-14	X31-X44
X44	X33	-3.511047451883391e-14	X33-X44
X44	X36	1.9803219312372443e-14	X36-X44
X44	X37	-2.933921545574788e-14	X37-X44
X44	X38	6.88796732810527e-14	X38-X44
X44	X4	-2.081195117947509e-15	X4-X44
X44	X41	2.5809177039877404e-14	X41-X44
X44	X42	4.232260557780181e-15	X42-X44
X44	X44	1.0000000000000042	X44-X44
X44	X46	-1.619150324867444e-14	X46-X44
X44	X61	3.738539926701519e-15	X61-X44
X44	X8	-9.26849833936306e-15	X8-X44
X44	X81	7.052609685597628e-15	X81-X44
X45	X100	6.044237633828922e-19	X100-X45
X45	X13	3.9051909536112264e-17	X13-X45
X45	X17	1.2682555014171656e-16	X17-X45
X45	X22	1.8017817204560826e-16	X22-X45
